Code,Years,FE,rule_order
20*,5,carbon_factor.professional_services-type_other_business_services,50
21*,7,carbon_factor.construction-type_construction_work,50
205*,5,carbon_factor.professional_services-type_research_development_services,40
203*,5,carbon_factor.professional_services-type_other_business_services,40
208*,5,carbon_factor.professional_services-type_other_business_services,40
2151*,7,carbon_factor.construction-type_construction_work,40
214*,7,carbon_factor.construction-type_construction_work,40
202*,5,carbon_factor.organizational_activity-type_public_administration_defense_services_compulsory_social_security_services,40
2153*,7,carbon_factor.construction-type_construction_work,40
213*,7,carbon_factor.construction-type_construction_work,40
2152*,7,carbon_factor.construction-type_construction_work,40
216*,7,carbon_factor.consumer_goods-type_furniture_other_manufactured_goods_not_elsewhere_specified,40
204*,7,carbon_factor.construction-type_construction_work,30
2121,7,carbon_factor.timber_forestry-type_products_of_forestry_logging_related_services,20
2128,7,carbon_factor.construction-type_construction_work,20
21561,5,carbon_factor.vehicle_manufacture-type_sale_maintenance_repair_parts_accessories_motor_vehicles_motorcycles,20
21568,5,carbon_factor.machinery-type_machinery_equipment_not_elsewhere_specified,20
21571,5,carbon_factor.vehicle_manufacture-type_sale_maintenance_repair_parts_accessories_motor_vehicles_motorcycles,20
21578,5,carbon_factor.machinery-type_machinery_equipment_not_elsewhere_specified,20
2158,5,carbon_factor.machinery-type_machinery_equipment_not_elsewhere_specified,20
2042,5,carbon_factor.professional_services-type_research_development_services,10
211*,,0,10
2181,7,carbon_factor.construction-type_construction_work,10
217*,,0,10
2182,5,carbon_factor.passenger_vehicle-type_motor_vehicles_trailers_semitrailers-fuel_source_na-engine_size_na-vehicle_age_na-vehicle_weight_na,10
2183,5,carbon_factor.office_equipment-type_office_machinery_computers,10
2184,5,carbon_factor.consumer_goods-type_furniture_other_manufactured_goods_not_elsewhere_specified,10
2185,7,carbon_factor.livestock_farming-type_cattle,10
2188,5,carbon_factor.consumer_goods-type_furniture_other_manufactured_goods_not_elsewhere_specified,10
204*1,5,carbon_factor.consumer_goods-type_furniture_other_manufactured_goods_not_elsewhere_specified,30
